"Column(name='location_name', type_code=1043)","Column(name='latitude', type_code=701)","Column(name='longitude', type_code=701)","Column(name='pollutant', type_code=1043)","Column(name='value', type_code=701)","Column(name='unit', type_code=1043)","Column(name='recorded_at', type_code=1114)"
"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,no2,45.37,µg/m³,2022-10-16 16:00:00
"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,pm10,102.6,µg/m³,2022-10-16 16:00:00
"Pimpleshwar Mandir, Thane - MPCB",19.192056,72.9585188,pm10,44.47,µg/m³,2026-08-27 02:15:00
"Pimpleshwar Mandir, Thane - MPCB",19.192056,72.9585188,pm25,24.97,µg/m³,2026-08-27 02:15:00
"Pimpleshwar Mandir, Thane - MPCB",19.192056,72.9585188,no2,10.85,ppb,2026-08-25 11:00:00
"Worli, Mumbai - MPCB",18.9936162,72.8128113,pm25,8.0,µg/m³,2026-08-27 02:30:00
"Worli, Mumbai - MPCB",18.9936162,72.8128113,no2,3.4,ppb,2026-08-27 02:30:00
"Worli, Mumbai - MPCB",18.9936162,72.8128113,pm10,404.0,µg/m³,2026-08-27 01:15:00
"Bandra Kurla Complex, Mumbai - IITM",19.0627,72.84614,no2,4.05,ppb,2026-08-26 06:15:00
"Bandra Kurla Complex, Mumbai - IITM",19.0627,72.84614,pm10,69.3,µg/m³,2026-08-27 02:30:00
"Bandra Kurla Complex, Mumbai - IITM",19.0627,72.84614,pm25,17.46,µg/m³,2026-08-27 02:30:00
"Deonar, Mumbai - IITM",19.04946,72.923,pm10,41.25,µg/m³,2026-08-27 02:15:00
"Deonar, Mumbai - IITM",19.04946,72.923,pm25,13.06,µg/m³,2026-08-27 02:15:00
"Deonar, Mumbai - IITM",19.04946,72.923,no2,8.02,ppb,2026-08-27 02:15:00
"Sector-19A Nerul, Navi Mumbai - IITM",19.044,73.0325,no2,0.0,ppb,2025-09-28 00:00:00
"Sector-19A Nerul, Navi Mumbai - IITM",19.044,73.0325,pm10,0.0,µg/m³,2025-09-28 00:00:00
"Kasarvadavali, Thane - MPCB",19.26777,72.97182,pm25,23.05,µg/m³,2026-08-27 02:15:00
"Kasarvadavali, Thane - MPCB",19.26777,72.97182,pm10,56.75,µg/m³,2026-08-27 02:15:00
"Kasarvadavali, Thane - MPCB",19.26777,72.97182,no2,9.61,ppb,2026-08-27 02:15:00
"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,pm25,12.86,µg/m³,2026-08-27 02:30:00
"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,pm10,24.33,µg/m³,2026-08-27 02:30:00
"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,no2,4.47,ppb,2026-08-27 02:30:00
"Upvan Fort, Thane - MPCB",19.222279,72.957979,pm10,31.87,µg/m³,2026-08-27 02:30:00
"Upvan Fort, Thane - MPCB",19.222279,72.957979,pm25,16.77,µg/m³,2026-08-27 02:30:00
"Upvan Fort, Thane - MPCB",19.222279,72.957979,no2,2.81,ppb,2026-08-27 02:30:00
"CBD Belapur, Belapur - MPCB",19.0243902,73.0406721,no2,18.98,ppb,2026-08-27 02:00:00
"CBD Belapur, Belapur - MPCB",19.0243902,73.0406721,pm25,16.59,µg/m³,2026-08-27 02:00:00
"CBD Belapur, Belapur - MPCB",19.0243902,73.0406721,pm10,40.45,µg/m³,2026-08-27 02:00:00
"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232,no2,6.99,ppb,2026-08-27 02:15:00
"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232,pm25,8.51,µg/m³,2026-08-27 02:15:00
"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232,pm10,45.01,µg/m³,2026-08-27 02:15:00
"Bhayandar West, Mira-Bhayandar - MPCB",19.296481,72.840923,no2,3.64,ppb,2026-08-27 01:45:00
"Bhayandar West, Mira-Bhayandar - MPCB",19.296481,72.840923,pm10,22.27,µg/m³,2026-08-27 01:45:00
"Bhayandar West, Mira-Bhayandar - MPCB",19.296481,72.840923,pm25,19.67,µg/m³,2026-08-27 01:45:00
"Mindspace-Malad West, Mumbai - MPCB",19.1878657,72.8304069,pm10,36.55,µg/m³,2026-08-26 03:15:00
"Mindspace-Malad West, Mumbai - MPCB",19.1878657,72.8304069,no2,14.23,ppb,2026-08-26 03:15:00
"Mindspace-Malad West, Mumbai - MPCB",19.1878657,72.8304069,pm25,12.11,µg/m³,2026-08-26 03:15:00
"Bandra Kurla Complex, Mumbai - MPCB",19.065931,72.862131,pm25,14.65,µg/m³,2026-08-27 02:00:00
"Bandra Kurla Complex, Mumbai - MPCB",19.065931,72.862131,pm10,40.89,µg/m³,2026-08-27 02:00:00
"Bandra Kurla Complex, Mumbai - MPCB",19.065931,72.862131,no2,4.64,ppb,2026-08-27 02:00:00
"Chembur, Mumbai - MPCB",19.0364585,72.8954371,no2,10.39,ppb,2026-08-27 02:15:00
"Chembur, Mumbai - MPCB",19.0364585,72.8954371,pm25,10.67,µg/m³,2026-08-27 02:15:00
"Chembur, Mumbai - MPCB",19.0364585,72.8954371,pm10,27.76,µg/m³,2026-08-27 02:15:00
"Kherwadi_Bandra East, Mumbai - MPCB",19.0632143,72.8456324,pm10,46.7,µg/m³,2026-08-27 02:00:00
"Kherwadi_Bandra East, Mumbai - MPCB",19.0632143,72.8456324,no2,6.17,ppb,2026-08-27 02:00:00
"Kherwadi_Bandra East, Mumbai - MPCB",19.0632143,72.8456324,pm25,9.32,µg/m³,2026-08-27 02:00:00
"Sanpada, Navi Mumbai - MPCB",19.0575752,73.0151367,pm25,10.61,µg/m³,2026-08-26 22:15:00
"Sanpada, Navi Mumbai - MPCB",19.0575752,73.0151367,no2,3.04,ppb,2026-08-26 22:15:00
"Sanpada, Navi Mumbai - MPCB",19.0575752,73.0151367,pm10,45.77,µg/m³,2026-08-26 22:15:00
